153284	57	23	62	0	0	30	0	0	69	0	0	1	0	0	0	0	0	30	0	0	0	0	0	0	0	0
117	196	2	0	9	0	0	0	0	1	97	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0
70	16	67	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
110	0	0	22429	6	0	12	0	0	0	0	0	58	0	0	0	0	0	0	0	0	17	0	0	0	0	0
0	8	0	7	11899	10	0	6	0	0	0	0	0	16	0	0	0	0	0	0	0	0	6	0	0	0	0
0	0	0	2	19	61	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	6	0	0	0
55	0	0	29	0	0	73	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0	6	0	0	10	0	1	13361	4	0	0	0	0	0	0	0	26	1	0	0	0	0	0	0	0	4	0
0	0	0	0	0	0	0	5	57	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	7
111	0	0	0	0	0	0	0	0	48705	20	11	57	0	0	19	0	1	22	0	0	0	0	0	0	0	0
0	44	0	0	0	0	0	0	0	25	52676	41	0	39	1	0	10	0	0	65	1	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0	6	43	107	0	0	43	0	0	14	0	0	0	0	0	1	0	0	0
0	0	0	31	0	0	0	0	0	29	0	0	192937	62	24	91	0	0	0	0	0	94	2	0	0	0	0
0	0	0	0	8	0	0	1	0	0	34	0	67	61545	111	1	58	1	0	0	0	0	22	0	0	0	0
0	0	0	0	0	11	0	0	0	0	0	31	27	95	80190	0	0	52	0	0	0	0	1	45	0	0	1
0	0	0	0	0	0	0	0	0	4	0	1	185	0	0	116	37	13	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	11	0	0	14	0	0	60	1	26	61725	53	0	0	0	0	0	0	0	18	0
0	0	0	0	0	0	0	0	9	1	0	15	1	0	83	23	66	79306	0	0	0	0	0	0	0	0	33
45	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	146	61	15	0	0	0	0	0	0
0	27	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	21	188817	77	0	13	0	0	7	0
0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	165	42	0	0	1	0	0	5
0	0	0	2	0	0	0	0	0	0	0	0	163	0	0	0	0	0	0	0	0	46	4	1	0	0	0
0	0	0	0	1	0	0	0	0	0	0	0	0	32	1	0	1	0	0	45	0	1	562	1	0	56	0
0	0	0	0	0	1	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	2	3	6522	0	0	7
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	1	2
0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	49	0	0	10	0	0	31	0	1	133	16
0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	72	0	0	0	1	0	9	1	7	20566
